ModuleId;Name
1;101 - Webauftritt erstellen und veröffentlichen
2;105 - Datenbanken mit SQL bearbeiten
3;127 - Server betreiben
4;302 - Fortgeschrittene Funktionen von Office Werkzeugen nutzen
5;304 - Einzelplatz-Computer in Betrieb nehmen
6;305 - Betriebssysteme installieren, konfigurieren und administrieren
7;307 - Interaktive Webseite mit Formular erstellen
8;335 - Mobile-Applikation realisieren
9;340 - IT Infrastruktur virtualisieren
